chr	pos	N	X
chr18	4483556	1	0
chr18	4494280	12	12
chr18	4494341	41	34
chr18	4494357	27	24
chr18	4494363	21	17
chr18	4494367	23	8
chr18	4494490	2	1
chr18	4494495	24	14
chr18	4494524	29	15
chr18	4494533	11	4
chr18	4494540	11	3
chr18	4500129	22	12
chr18	4500279	7	2
chr18	4502218	14	2
chr18	4502258	17	0
chr18	4510060	10	5
chr18	4510150	1	0
chr18	4525000	30	8
chr18	4525029	32	8
chr18	4525075	7	0
chr18	4534585	15	10
chr18	4534600	15	11
chr18	4534631	10	2
chr18	4534645	10	10
chr18	4534649	10	9
chr18	4534655	2	2
chr18	4534662	2	2
chr18	4534688	2	2
chr18	4535643	1	0
chr18	4538862	6	4
chr18	4538899	7	1
chr18	4538951	2	1
chr18	4543197	2	0
chr18	4543202	2	0
chr18	4564190	3	1
chr18	4564237	4	0
chr18	4566956	2	0
chr18	4566996	37	18
chr18	4634940	21	0
chr18	4634963	36	0
chr18	4634975	15	0
chr18	4634978	17	0
chr18	4634982	2	0
chr18	4634987	2	0
chr18	4634993	3	0
chr18	4635002	4	0
chr18	4635004	4	0
chr18	4635016	2	0
chr18	4635023	9	2
chr18	4635027	7	0
chr18	4635044	10	0
chr18	4635048	8	0
chr18	4635057	11	0
chr18	4635075	1	0
chr18	4635082	1	0
chr18	4635095	20	0
chr18	4635097	20	0
chr18	4635099	21	0
chr18	4635101	21	0
chr18	4635121	46	0
chr18	4635147	25	0
chr18	4635157	31	0
chr18	4635161	33	0
chr18	4635163	33	0
chr18	4635168	33	0
chr18	4635185	53	0
chr18	4635192	23	0
chr18	4635198	23	0
chr18	4635201	23	0
chr18	4635205	23	0
chr18	4635220	3	0
chr18	4635238	14	0
chr18	4635261	13	0
chr18	4635263	14	0
chr18	4635270	55	0
chr18	4635272	55	0
chr18	4635287	42	0
chr18	4635292	42	0
chr18	4635294	42	0
chr18	4635304	42	0
chr18	4635335	22	0
chr18	4635345	22	0
chr18	4635348	22	0
chr18	4635358	23	0
chr18	4635360	23	0
chr18	4635367	27	0
chr18	4635369	28	0
chr18	4635380	5	0
chr18	4635390	5	0
chr18	4635392	5	0
chr18	4635396	5	0
chr18	4635401	5	0
chr18	4635428	18	0
chr18	4635447	18	0
chr18	4635454	19	0
chr18	4635462	19	0
chr18	4635473	6	0
chr18	4635477	2	0
chr18	4635487	7	0
chr18	4635510	20	0
chr18	4635535	20	0
chr18	4635550	17	0
chr18	4635574	17	0
chr18	4635642	16	0
chr18	4635666	16	0
chr18	4635681	8	0
chr18	4635694	8	0
chr18	4635725	21	0
chr18	4635731	21	0
chr18	4657576	23	3
chr18	4657592	35	4
chr18	4657623	39	5
chr18	4657639	27	12
chr18	4657649	27	5
chr18	4657770	35	0
chr18	4661450	14	0
chr18	4698945	8	5
chr18	4699002	1	0
chr18	4699127	2	2
chr18	4699485	18	14
chr18	4699562	31	22
chr18	4699596	32	23
chr18	4700425	19	16
chr18	4700488	19	16
chr18	4700519	30	23
chr18	4700524	16	11
chr18	4700532	16	11
chr18	4700542	16	10
chr18	4700558	6	4
chr18	4701457	2	2
chr18	4701477	2	2
chr18	4701479	2	2
chr18	4701487	2	2
chr18	4701491	2	0
chr18	4707416	2	2
chr18	4707572	17	17
chr18	4750483	9	5
chr18	4750633	24	4
chr18	4761876	2	1
chr18	4761966	22	0
chr18	4762109	1	0
chr18	4808959	4	0
chr18	4808971	1	0
chr18	4808976	3	0
chr18	4809001	1	0
chr18	4838070	5	5
chr18	4838213	1	1
chr18	4907256	11	0
chr18	4907338	21	0
chr18	4907361	21	9
chr18	4907366	2	0
chr18	4907408	2	0
chr18	4920229	7	0
chr18	4920277	3	0
chr18	4920286	3	0
chr18	4920298	3	0
chr18	4920326	26	0
chr18	4920385	58	31
chr18	4920398	58	0
chr18	4920411	79	0
chr18	4920420	26	0
chr18	4920450	33	0
chr18	4920459	44	0
chr18	4920464	44	0
chr18	4920466	33	0
chr18	4920470	43	2
chr18	4920472	35	0
chr18	4920477	33	1
chr18	4920479	44	0
chr18	4920485	17	0
chr18	4920490	11	0
chr18	4920499	3	0
chr18	4920505	3	0
chr18	4920507	3	0
chr18	4920523	6	0
chr18	4920534	3	0
chr18	4920568	28	0
chr18	4920586	28	0
chr18	4920627	48	0
chr18	4920634	48	0
chr18	4920638	48	0
chr18	4920680	23	0
chr18	4920687	23	0
chr18	4920701	23	0
chr18	4920706	24	0
chr18	4920714	85	0
chr18	4920719	62	0
chr18	4920734	62	0
chr18	4920736	62	0
chr18	4920769	1	0
chr18	4920793	1	0
chr18	4920803	1	0
chr18	4920815	1	0
chr18	4920818	1	0
chr18	4920829	1	0
chr18	4920846	1	0
chr18	4920853	1	0
chr18	4921541	2	0
chr18	4921551	2	0
chr18	4921561	2	0
chr18	4921568	2	0
chr18	4921637	8	0
chr18	4921656	65	0
chr18	4921679	57	0
chr18	4921695	21	0
chr18	4921702	21	0
chr18	4921723	45	0
chr18	4921726	24	0
chr18	4921734	24	0
chr18	4921736	24	0
chr18	4921784	11	0
chr18	4921804	13	0
chr18	4921825	13	0
chr18	4921838	13	0
chr18	4921852	21	0
chr18	4921874	21	0
chr18	4921881	21	0
chr18	4921911	51	0
chr18	4921934	72	0
chr18	4921937	71	0
chr18	4921950	21	0
chr18	4921960	21	0
chr18	4921987	12	0
chr18	4922006	12	0
chr18	4922033	30	0
chr18	4922049	30	0
chr18	4922052	30	0
chr18	4922059	30	0
chr18	4922122	3	0
chr18	4922222	1	0
chr18	4922232	1	0
chr18	4922234	1	0
chr18	4922251	1	0
chr18	4922253	1	0
chr18	4925220	1	0
chr18	4929876	3	0
chr18	4930035	7	0
chr18	4940679	5	3
chr18	4940709	5	3
chr18	4968798	18	4
chr18	4968844	41	23
chr18	4980407	25	0
chr18	4980440	25	5
chr18	4980479	28	3
chr18	4990071	6	1
chr18	4990146	33	21
chr18	4994261	13	1
chr18	4994270	14	1
chr18	4994334	3	3
chr18	5017892	7	7
chr18	5017923	26	11
chr18	5017927	20	8
chr18	5027549	4	1
chr18	5027578	4	0
chr18	5027689	31	9
chr18	5027725	24	18
chr18	5027743	14	7
chr18	5027778	34	19
chr18	5054995	6	6
chr18	5086601	18	18
chr18	5088851	7	5
chr18	5088943	47	45
chr18	5088964	49	47
chr18	5103507	4	1
chr18	5103649	15	15
chr18	5110868	1	1
chr18	5111263	1	1
chr18	5111352	1	0
chr18	5112943	45	25
chr18	5112964	84	83
chr18	5112988	39	39
chr18	5113033	8	6
chr18	5113057	9	9
chr18	5113065	9	8
chr18	5113067	9	9
chr18	5113071	1	1
chr18	5114580	50	27
chr18	5114594	50	32
chr18	5114613	50	21
chr18	5114701	70	50
chr18	5114712	70	50
chr18	5116467	1	0
chr18	5139044	4	0
chr18	5139056	4	0
chr18	5139141	13	0
chr18	5160099	19	8
chr18	5160133	20	8
chr18	5162252	19	0
chr18	5162261	52	1
chr18	5162287	51	0
chr18	5162295	17	0
chr18	5162361	28	0
chr18	5162387	29	0
chr18	5163461	17	0
chr18	5163465	17	0
chr18	5163471	21	0
chr18	5163495	20	0
chr18	5163497	5	0
chr18	5163505	3	0
chr18	5163531	1	0
chr18	5163578	30	0
chr18	5163597	30	0
chr18	5163600	30	0
chr18	5163602	30	0
chr18	5163605	30	0
chr18	5189526	7	2
chr18	5189568	23	7
chr18	5189578	23	11
chr18	5205249	1	1
chr18	5205256	1	1
chr18	5205271	1	1
chr18	5205273	1	1
chr18	5205452	1	0
chr18	5205524	9	5
chr18	5206546	17	15
chr18	5206554	17	9
chr18	5206602	34	33
chr18	5206605	54	50
chr18	5206661	40	36
chr18	5206664	73	65
chr18	5206720	45	42
chr18	5206723	72	67
chr18	5206782	41	38
chr18	5230458	19	6
chr18	5230500	12	6
chr18	5230510	12	7
chr18	5235319	75	50
chr18	5235334	86	61
chr18	5235338	86	61
chr18	5235430	8	8
chr18	5235446	8	8
chr18	5235462	5	4
chr18	5235619	5	1
chr18	5235628	5	0
chr18	5235774	6	3
chr18	5235798	4	4
chr18	5235915	15	14
chr18	5241268	13	8
chr18	5241320	15	7
chr18	5241770	6	4
chr18	5241875	21	9
chr18	5242025	14	4
chr18	5264260	15	10
chr18	5264345	2	2
chr18	5264385	14	8
chr18	5297975	7	4
chr18	5304037	11	6
chr18	5304043	11	5
chr18	5304187	11	6
chr18	5334195	1	0
chr18	5334208	1	0
chr18	5334215	1	0
chr18	5334220	1	0
chr18	5334248	12	0
chr18	5334255	14	0
chr18	5334257	14	0
chr18	5334269	15	0
chr18	5334275	14	0
chr18	5334281	15	0
chr18	5334290	1	0
chr18	5334299	1	0
chr18	5334388	1	0
chr18	5334397	9	0
chr18	5334408	9	0
chr18	5334410	7	0
chr18	5334414	8	0
chr18	5334419	7	0
chr18	5334424	6	0
chr18	5334445	2	0
chr18	5334447	2	0
chr18	5334449	2	0
chr18	5334459	2	0
chr18	5334464	2	0
chr18	5334469	2	0
chr18	5334652	7	0
chr18	5334663	7	0
chr18	5334667	7	0
chr18	5334734	27	0
chr18	5334736	27	0
chr18	5334760	26	0
chr18	5334763	44	0
chr18	5334798	38	0
chr18	5334816	39	0
chr18	5334846	20	0
chr18	5334856	20	0
chr18	5334862	20	0
chr18	5334876	19	0
chr18	5334904	36	0
chr18	5334909	36	0
chr18	5334930	36	0
chr18	5334934	37	0
chr18	5368372	15	2
chr18	5368426	37	12
chr18	5368453	37	12
chr18	5407112	7	5
chr18	5407262	45	21
chr18	5407337	2	1
chr18	5407367	2	2
chr18	5421865	7	0
chr18	5421869	7	0
chr18	5421936	7	0
chr18	5428014	3	0
chr18	5428057	1	1
chr18	5428129	2	0
chr18	5428176	14	0
chr18	5428187	14	0
chr18	5428221	3	0
chr18	5428262	55	0
chr18	5428286	93	0
chr18	5428289	94	11
chr18	5428291	94	9
chr18	5428299	41	9
chr18	5428320	41	11
chr18	5436409	5	1
chr18	5436413	6	0
chr18	5436415	6	0
chr18	5436421	6	0
chr18	5436423	6	2
chr18	5436444	5	0
chr18	5436446	5	5
chr18	5436452	5	0
chr18	5436454	5	0
chr18	5436458	5	0
chr18	5438448	27	16
chr18	5438474	27	0
chr18	5438497	6	6
chr18	5438532	57	48
chr18	5438535	63	48
chr18	5438568	26	0
chr18	5438578	26	0
chr18	5438596	35	14
chr18	5438603	12	5
chr18	5438620	11	5
chr18	5438622	11	5
chr18	5438628	11	5
chr18	5438630	11	6
chr18	5438634	3	2
chr18	5439846	15	1
chr18	5439895	8	4
chr18	5444173	22	10
chr18	5444327	3	0
chr18	5449849	1	0
chr18	5449959	3	0
chr18	5449969	10	0
chr18	5449995	7	0
chr18	5487311	26	0
chr18	5493900	5	5
chr18	5493960	34	12
chr18	5499695	41	18
chr18	5499723	41	21
chr18	5499791	18	13
chr18	5499817	18	14
chr18	5500553	31	8
chr18	5500571	31	9
chr18	5500650	8	5
chr18	5575098	2	2
chr18	5575129	5	3
chr18	5575138	1	1
chr18	5575159	14	14
chr18	5575182	41	40
chr18	5575190	27	24
chr18	5575192	27	19
chr18	5575238	3	0
chr18	5575276	9	5
chr18	5575279	9	5
chr18	5575288	9	6
chr18	5575302	9	5
chr18	5591349	11	0
chr18	5591368	10	0
chr18	5591370	11	0
chr18	5591372	11	0
chr18	5591376	11	0
chr18	5591402	18	3
chr18	5591416	18	3
chr18	5591418	18	4
chr18	5591422	18	0
chr18	5591425	18	0
chr18	5591427	18	3
chr18	5591432	18	0
chr18	5591448	1	1
chr18	5591451	1	0
chr18	5591457	1	0
chr18	5591466	1	0
chr18	5591469	1	0
chr18	5591486	1	1
chr18	5591490	1	0
chr18	5591498	1	0
chr18	5591683	2	0
chr18	5591696	2	0
chr18	5591708	1	0
chr18	5591931	2	0
chr18	5591944	2	0
chr18	5591950	2	0
chr18	5591963	1	0
chr18	5591973	1	0
chr18	5591983	1	0
chr18	5592055	12	12
chr18	5592060	12	12
chr18	5592087	12	12
chr18	5592092	1	0
chr18	5592098	2	0
chr18	5592104	1	0
chr18	5592107	3	0
chr18	5592110	4	0
chr18	5592116	4	0
chr18	5592119	3	0
chr18	5592122	3	0
chr18	5592125	2	0
chr18	5592127	2	0
chr18	5592144	1	0
chr18	5592166	4	0
chr18	5592173	4	0
chr18	5592179	4	0
chr18	5592189	5	0
chr18	5592196	24	1
chr18	5592205	25	1
chr18	5592208	23	0
chr18	5592215	24	0
chr18	5592218	25	0
chr18	5592221	25	0
chr18	5592223	25	0
chr18	5592227	20	1
chr18	5592254	1	0
chr18	5592271	1	0
chr18	5592298	3	0
chr18	5592301	3	0
chr18	5592309	3	0
chr18	5592311	3	0
chr18	5592313	3	0
chr18	5592315	3	0
chr18	5592379	1	1
